lead_id,first_name,last_name,company,email,phone,status,lead_source,lead_owner_id,lead_created_date,converted_account_id,converted_contact_id,converted_opportunity_id,owner_name,owner_title,owner_role,owner_department,owner_is_active,owner_hire_date,task_count,open_task_count,closed_task_count,high_priority_task_count,last_task_created_date,last_task_activity_date,lead_age_days,lead_is_converted
00QFZ0p4yMbuMejsyI,Jordan,Wong,Harbor Systems,jordan.wong.0@lead.example,+1-555-695-1876,Open,Web,005IAWyyPlUBLQDIva,2024-05-07,001PqnELu3Z5bJYo1m,003ZmchdR4224AuaPi,006UeBMQG0gkiBNu2o,Sofia Ali,Sales Development Representative,SDR,Sales,True,2023-04-13,3,2,1,0,2025-10-22,2025-10-28,603,True
00QaaO3OtUqFSZCP58,Jordan,Mitchell,BlueSky Group,jordan.mitchell.1@lead.example,+1-555-640-8745,Nurturing,Outbound,0052vuTGNhPaf9DJtR,2025-04-13,001RiqhXdyUJwIcFiW,003Yyhd45k8z1hDypd,006xRRAzeNl9gIM17f,Sofia Lee,Sales Development Representative,SDR,Sales,True,2025-09-16,1,0,1,0,2022-12-19,2022-12-29,262,True
00QgIX9oAT2XliVCRm,Jihoon,Taylor,Clearwater Services,jihoon.taylor.2@lead.example,+1-555-242-5972,Open,Partner Referral,005gvRs74Xd8fUlA3x,2023-12-27,,,,Andre Lewis,Business Development Representative,BDR,Sales,True,2021-06-25,6,3,3,4,2025-11-04,2025-11-19,735,False
00Q5CfGZnEgZ6YRPV8,Yara,Brown,Cobalt Health,yara.brown.3@lead.example,+1-555-405-4406,Nurturing,Outbound,005xi0Xi0wCwuciNbG,2025-04-28,0017GsD7Up46bIVCbY,003s68HbdjjxoVv3fI,006frH9g2CoWBe418J,Bao Hall,Sales Development Representative,SDR,Sales,True,2022-02-07,4,1,3,2,2024-08-26,2024-09-17,247,True
00Q55Tgh78kMZqYwB5,Jada,Gupta,Harbor Financial,jada.gupta.4@lead.example,+1-555-210-4298,Nurturing,Outbound,005ATkmG7VSdpihf48,2022-06-12,001FbowpksOa9uGfrU,0038wyjOgdTsiHVR3T,006CWfOgyOTcBmaKHu,Haruto Alvarez,Sales Development Representative,SDR,Sales,True,2025-06-24,2,1,1,1,2025-04-16,2025-04-27,1298,True
00Q0WjI6XjSJyB7OnE,Emerson,Alvarez,Vertex Energy,emerson.alvarez.5@lead.example,+1-555-121-3775,Open,Trade Show,005O8TxStNstfUeWj7,2022-11-11,,,,Nia Ibrahim,Business Development Representative,BDR,Sales,True,2021-10-09,2,1,1,1,2025-07-05,2025-07-27,1146,False
00Q617zGeP3kxsWMuZ,Quinn,Abebe,Cobalt Logistics,quinn.abebe.6@lead.example,+1-555-361-6079,Working,Outbound,005DJJzk8TFPHjwamm,2024-02-20,0012xoSc5wqvr2IXZm,003uBNtnnpnW56NWdG,006GZC3kEjiEyNVAaV,Riley Washington,Business Development Representative,BDR,Sales,True,2021-10-18,0,0,0,0,,,680,True
00QeC84tDaaUV5hNj0,Liam,Jackson,Lighthouse Services,liam.jackson.7@lead.example,+1-555-685-3296,Qualified,Trade Show,005CS61es1IwtecnA5,2022-05-13,,,,Carmen Clark,Sales Development Representative,SDR,Sales,True,2025-10-14,5,1,4,1,2025-08-26,2025-09-03,1328,False
00QiBhgDcG6VNS1k0c,Jordan,Williams,Redwood Systems,jordan.williams.8@lead.example,+1-555-223-5000,Qualified,Trade Show,005mYnZlHWW2dnL0rt,2023-12-31,,,,Riley Jackson,Business Development Representative,BDR,Sales,True,2021-09-28,6,3,3,2,2024-03-06,2024-04-02,731,False
00QWYpfciSoDEU5L7n,Andre,Gonzalez,Summit Consulting,andre.gonzalez.9@lead.example,+1-555-852-8432,Open,Outbound,005EhkAnpKcWuNovJ6,2023-09-09,001LN5bqPT050y2eB9,003tR6r2iO89DFg6VT,006BUzJ1vmbXFvM97x,Tariq Cruz,Business Development Representative,BDR,Sales,True,2023-12-03,7,2,5,3,2025-09-18,2025-09-20,844,True
00QDMTqYv9Vd9Cs40b,Liam,Ibrahim,BlueSky Media,liam.ibrahim.10@lead.example,+1-555-114-9709,Working,Trade Show,005scUETCztHB2VpGr,2023-11-06,001rD3axIwc4atfLm8,003Vz1NACSXzR8yN2s,006MUPYlfhgM4yqEE1,Leila Wong,Sales Development Representative,SDR,Sales,True,2021-09-29,6,3,3,1,2024-12-17,2024-12-22,786,True
00QKGj24dcFTS03VaM,Malik,Ibrahim,Lighthouse Group,malik.ibrahim.11@lead.example,+1-555-385-7656,Working,Trade Show,005H18uJWTVdyNheWe,2025-10-08,,,,Kavya Banerjee,Business Development Representative,BDR,Sales,True,2025-09-07,1,1,0,1,2022-08-23,2022-09-14,84,False
00Qe1V1OMLvGElJzOS,Liam,Alvarez,Ironwood Labs,liam.alvarez.12@lead.example,+1-555-574-2376,Nurturing,Trade Show,005YJKL1sxnz5KucCa,2025-12-20,001h6em9hg8pLM4WHl,,,Camila Smith,Sales Development Representative,SDR,Sales,True,2024-03-09,3,3,0,0,2025-06-20,2025-07-14,11,True
00QXm0VRO1QZn0nLwE,Adriana,Lee,Cobalt Health,adriana.lee.13@lead.example,+1-555-620-5404,Open,Partner Referral,0051FeBviD8WOpEx9p,2025-12-30,,,,Kavya Gupta,Sales Development Representative,SDR,Sales,True,2026-01-02,3,2,1,0,2025-11-17,2025-12-05,1,False
00Q0XwK8wWcWV6uGmY,Bao,Brown,Oakridge Financial,bao.brown.14@lead.example,+1-555-100-2514,Nurturing,Trade Show,005PsOTr02Fp2pwCFZ,2025-05-05,,,,Liam Sanchez,Business Development Representative,BDR,Sales,True,2024-02-08,5,3,2,0,2025-08-09,2025-08-30,240,False
00QnDh24BcTQx3JfF6,Fatima,Banerjee,Cobalt Logistics,fatima.banerjee.15@lead.example,+1-555-763-5486,Open,Trade Show,005kGz3iLXUMdHQq3f,2024-07-23,001frKhXE6Jkxqtrsm,003coG5h5aXm75xBuZ,0063H6v2cID0AVXREF,Ximena Baker,Sales Development Representative,SDR,Sales,True,2023-04-10,9,3,6,2,2025-09-21,2025-09-28,526,True
00QefRYgJH39xJoI99,Taylor,Robinson,Stratus Financial,taylor.robinson.16@lead.example,+1-555-637-7731,Open,Inbound,005PcnSwvycOiPT9zy,2025-07-29,,,,Tariq Wong,Sales Development Representative,SDR,Sales,True,2023-08-08,3,2,1,0,2024-04-08,2024-04-27,155,False
00Qj4JMTf2UemZuxX0,Leila,Thompson,Redwood Manufacturing,leila.thompson.17@lead.example,+1-555-618-4661,Working,Partner Referral,005Fg6NzJiUZlow1pr,2025-08-26,001x4paxznjNq1pQTP,003gmHUz1AqtbFzXI3,006IJ3B5LR0sOmQCvr,Andre Ibrahim,Business Development Representative,BDR,Sales,True,2022-08-16,1,1,0,1,2022-12-22,2022-12-23,127,True
00QRTD8lGurGWe3T02,Taylor,Washington,Stratus Technologies,taylor.washington.18@lead.example,+1-555-676-8299,Working,Inbound,00566La41L76C1ZyfL,2024-03-28,001BVB4eCv3J6aCiYw,003ccBpGIVXEfBHQpJ,006wFPlDftwDjRmemO,Yara Alvarez,Sales Development Representative,SDR,Sales,True,2022-01-12,1,0,1,1,2022-05-11,2022-06-02,643,True
00QNUSBfvbxilaustZ,Tariq,Lopez,Clearwater Services,tariq.lopez.19@lead.example,+1-555-475-5013,Nurturing,Trade Show,005U1cnD3W8AfIM0Y9,2024-07-01,0019HERDp6rePG0nGt,003sjgTpduOfsoqpuw,0061za32ADGXc98azf,Camila Diaz,Business Development Representative,BDR,Sales,True,2023-01-30,3,3,0,3,2024-11-13,2024-11-20,548,True
