id,account_id,owner_id,first_name,last_name,email,phone,title,department,lead_source,created_date,is_primary
003z4ElIL30m1wAGl3,001s3A1tRfqrsxOBGl,005FA8TcXwRGIFLbcj,Maya,Green,maya.green.9461@contact.example,+1-555-892-4846,Individual Contributor,Finance,Trade Show,2023-01-17,false
003NDEqimutOgMAtm2,00174rRhUn4XkpKJSh,005ZgXPYFXOBU7G1tp,Quinn,Khan,quinn.khan.1666@contact.example,+1-555-729-7869,Director,Finance,Partner Referral,2022-02-19,true
003juUFixAfpsOcpNt,001LcJRxTV1ILeXmQI,005g4fdGzuew1U6NXU,Aaliyah,Wilson,aaliyah.wilson.902@contact.example,+1-555-788-2834,Manager,IT,Partner Referral,2022-07-08,false
003JWwkeBcyoEE6cgJ,001qkmWIxslf0BxGOd,00512E80qDwAaI1oOE,Yara,Chen,yara.chen.13478@contact.example,+1-555-467-9202,Manager,Operations,Web,2024-10-06,true
003l3gXXOskcNiBzaL,001Gy0bWixHXot4zNI,0058Bwr0RkCwwLehpc,Adriana,Wright,adriana.wright.9042@contact.example,+1-555-613-6674,VP,Finance,Web,2023-06-10,true
003682tcy4HbrHe0K5,0017HfUo76ygCLyd5T,005chtXE6kHD1j5gMk,Kai,Lopez,kai.lopez.750@contact.example,+1-555-696-2677,Individual Contributor,Operations,Partner Referral,2022-08-22,false
003mvyVM3YXsMCacHJ,0015wxj25orn17wdoB,005DS8Y3naP935K0U7,Akira,Banerjee,akira.banerjee.3658@contact.example,+1-555-344-7410,Individual Contributor,Finance,Trade Show,2022-11-21,true
00349NPVW09uMFPEwi,001bViAgs7iArDLKwI,005nz6ixedb0ulRU2P,Andre,Alvarez,andre.alvarez.13923@contact.example,+1-555-936-1945,Manager,Sales,Web,2025-02-22,false
0039WXIvKRkmXnKlNP,001OT8ewHSWH4McRq4,005uK1d6IniB6ZlkqB,Amina,Rodriguez,amina.rodriguez.5702@contact.example,+1-555-337-6768,Manager,Sales,Outbound,2022-05-03,false
003ot6uhZlgcWldhUF,001Opgd8sFkHh8xPgd,005U2hcHrNtlfF5gcz,Keisha,Hernandez,keisha.hernandez.3586@contact.example,+1-555-297-2643,VP,IT,Event,2024-03-26,false
003PYDDd0hP7yBy2DC,001MMBAHLm1yonJlLp,005H18uJWTVdyNheWe,Casey,Walker,casey.walker.1161@contact.example,+1-555-961-6287,VP,Finance,Event,2022-03-11,true
003AMcAi8zgquB2dzm,001F8txqdKeg1WNzku,005xQtcNnSs6fMHI2E,Amina,Smith,amina.smith.866@contact.example,+1-555-303-2542,Manager,Finance,Partner Referral,2024-04-02,true
0037VbrSZdYBwgkzpa,001uD02TBWCtnKtKf9,005RpFPjmmumSx8sB2,Alex,Banerjee,alex.banerjee.92@contact.example,+1-555-178-8361,Director,Operations,Event,2024-11-06,false
003dxoj4blFJdB2UgL,001JKPTnwJ4bzgGyNJ,005Iyi4Xhg6R1KQ608,Keisha,Gupta,keisha.gupta.12071@contact.example,+1-555-301-6018,Director,Finance,Event,2022-02-08,false
003ji6gvpwxaHged3M,0016G11rUnEEeVpNPH,005mYnZlHWW2dnL0rt,Alex,Williams,alex.williams.3748@contact.example,+1-555-596-2358,Manager,IT,Web,2022-02-10,true
003QNncp7nH8ZUCByS,001hHa5Ouo1zAg8Eoh,005FmC4bvUmQBFO9r1,Carmen,Patel,carmen.patel.6850@contact.example,+1-555-542-8553,Director,Operations,Trade Show,2022-09-17,false
003f1DYpvo0rnIBDUG,001TtyYmCTghMVZM8S,005DS8Y3naP935K0U7,Tariq,Garcia,tariq.garcia.4184@contact.example,+1-555-140-3712,Individual Contributor,Finance,Outbound,2024-01-10,true
003JwJeqn4RSQQUJjl,0018xgSSwQIEXsw28M,005ZmDANT8NxIwQSUH,Noah,Edwards,noah.edwards.5585@contact.example,+1-555-987-5361,Director,Finance,Inbound,2024-05-13,false
003yDNiAgqzJNVKbr0,001QsjFUrekbGl3zR4,0055zd5SriKEc8WlTo,Aaliyah,Clark,aaliyah.clark.10300@contact.example,+1-555-836-3120,Individual Contributor,IT,Inbound,2025-02-01,false
0039kO2SaQdGG6rkee,001Qg62YSZKbcNNSwo,005lkDbq9IPSQ2U7zZ,Zuri,Wright,zuri.wright.933@contact.example,+1-555-107-5784,VP,Sales,Partner Referral,2024-07-11,true
003IYsrHDv7mOa6DWo,001ERYpb5jiq0aW73g,005gvRs74Xd8fUlA3x,Malik,Green,malik.green.6641@contact.example,+1-555-988-2637,Individual Contributor,Sales,Partner Referral,2023-12-11,false
00324ivWqxbxDQH5fP,001jgPdJX4JTOyt9uj,005rTQ0LB8Z2cjvjPG,Fatima,Alvarez,fatima.alvarez.12521@contact.example,+1-555-247-4834,Manager,Finance,Inbound,2025-08-20,false
0030Emts4yU41SoH0p,001fApW33QxF3OTWOC,005YgcwjR0nrnHIGZX,Kavya,Smith,kavya.smith.4088@contact.example,+1-555-660-4563,Director,Operations,Partner Referral,2025-05-22,false
003IkO3ckeTKl7mCrO,0019yurKyed7PILhDl,005SotgxabsZFoiinJ,Quinn,Miller,quinn.miller.7584@contact.example,+1-555-914-8081,Individual Contributor,Operations,Inbound,2024-07-06,true
003ZvabqpF0PYCIhhH,001qAhFLufx9I2fsRb,005lwhmSG1MSOXLTAt,Kavya,Hall,kavya.hall.1497@contact.example,+1-555-107-8758,VP,Finance,Trade Show,2023-07-27,true
003lbdPI2wGG6G27yq,001iuB0UvryFQPqhht,005IgSO06ukUkmxr0U,DeShawn,Green,deshawn.green.5039@contact.example,+1-555-781-1795,VP,IT,Event,2022-05-29,false
0033e35HZRYiXncXeL,001Te3hVE79lwYFAao,005SbAnWPkaLqqFhXE,Tariq,Ibrahim,tariq.ibrahim.5812@contact.example,+1-555-543-8322,Individual Contributor,Operations,Partner Referral,2024-08-27,false
003ascm21QRXKuUpgB,001OCiPSCoJ84R7IR3,005Ho68SXnOO9IeJdv,Sofia,Thomas,sofia.thomas.13310@contact.example,+1-555-451-5232,Individual Contributor,Operations,Trade Show,2023-06-30,false
003O1dlFfDOFEPzitT,0015qIWASCLVs0zvip,005PuqoGxlvwVICWiV,Emerson,Johnson,emerson.johnson.13176@contact.example,+1-555-826-5944,Manager,IT,Event,2024-10-17,false
003k9hhlJBfzRCP3Ob,001LfoEmJYTLHvALPj,005DS8Y3naP935K0U7,Sofia,Diaz,sofia.diaz.3970@contact.example,+1-555-804-7791,Individual Contributor,Finance,Partner Referral,2025-09-19,false
003x6z3WRIldAXse2A,001WQ8hbZN7rKym4Kk,005oNQqFKPLjEKAacs,Miguel,Wilson,miguel.wilson.7623@contact.example,+1-555-963-8820,Director,Finance,Web,2025-06-24,true
